year,species_code,English_name,total_obs
1996,PW,White Wagtail,2362.0
1996,PX,Indian Peafowl,3.0
1996,R.,European Robin,16449.0
1996,RA,Razorbill,7.0
1996,RB,Common Reed Bunting,1076.0
1996,RC,European Rock Pipit,36.0
1996,RG,Willow Ptarmigan,585.0
1996,RI,Rose-ringed Parakeet,28.0
1996,RK,Common Redshank,394.0
1996,RL,Red-legged Partridge,1698.0
1996,RM,Red-breasted Merganser,32.0
1996,RN,Northern Raven,682.0
1996,RO,Rook,31952.0
1996,RP,Common Ringed Plover,90.0
1996,RT,Common Redstart,442.0
1996,RW,Common Reed Warbler,461.0
1996,RY,Ruddy Duck,44.0
1996,RZ,Ring Ouzel,42.0
1996,S.,Eurasian Skylark,16402.0
1996,SA,European Shag,246.0
1996,SC,European Stonechat,95.0
1996,SD,Stock Dove,2520.0
1996,SF,Spotted Flycatcher,320.0
1996,SG,Common Starling,55130.0
1996,SH,Eurasian Sparrowhawk,275.0
1996,SI,Common Swift,7514.0
1996,SJ,Snow Goose,1.0
1996,SK,Eurasian Siskin,957.0
1996,SL,Barn Swallow,11909.0
1996,SM,Sand Martin,1444.0
1996,SN,Common Snipe,300.0
1996,SP,Greater Scaup,1.0
1996,SS,Sanderling,50.0
1996,ST,Song Thrush,5923.0
1996,SU,Common Shelduck,1073.0
1996,SW,Sedge Warbler,1158.0
1996,T.,Eurasian Teal,89.0
1996,TC,Eurasian Treecreeper,491.0
1996,TD,European Turtle Dove,534.0
1996,TE,Sandwich Tern,28.0
1996,TH,Short-toed Treecreeper,6.0
1996,TO,Tawny Owl,86.0
1996,TP,Tree Pipit,402.0
1996,TS,Eurasian Tree Sparrow,570.0
1996,TT,Ruddy Turnstone,40.0
1996,TU,Tufted Duck,892.0
1996,UA,Australian Shelduck,2.0
1996,UD,Ruddy Shelduck,2.0
1996,W.,Northern Wheatear,978.0
1996,WA,Water Rail,11.0
1996,WC,Whinchat,353.0
1996,WG,Greater White-fronted Goose,1.0
1996,WH,Common Whitethroat,4741.0
1996,WK,Eurasian Woodcock,7.0
1996,WL,Woodlark,19.0
1996,WO,Wood Warbler,117.0
1996,WP,Common Wood Pigeon,52077.0
1996,WR,Eurasian Wren,17703.0
1996,WT,Willow Tit,104.0
1996,WW,Willow Warbler,9107.0
1996,WX,Bohemian Waxwing,1.0
1996,Y.,Yellowhammer,6139.0
1996,YW,Western Yellow Wagtail,820.0
1997,AC,Parasitic Jaeger,29.0
1997,AE,Arctic Tern,38.0
1997,AS,Black Swan,5.0
1997,B.,Common Blackbird,32872.0
1997,BC,Eurasian Blackcap,4139.0
1997,BF,Eurasian Bullfinch,1289.0
1997,BG,Brant Goose,1.0
1997,BH,Black-headed Gull,5722.0
1997,BT,Eurasian Blue Tit,24686.0
1997,BY,Barnacle Goose,24.0
1997,BZ,Common Buzzard,1115.0
1997,C.,Carrion Crow,26716.0
1997,CA,Great Cormorant,449.0
1997,CB,Corn Bunting,831.0
1997,CC,Common Chiffchaff,4933.0
1997,CD,Eurasian Collared Dove,7914.0
1997,CG,Canada Goose,2244.0
1997,CH,Eurasian Chaffinch,32737.0
1997,CI,Crested Tit,14.0
1997,CK,Common Cuckoo,1560.0
1997,CM,Common Gull,4107.0
1997,CN,Common Tern,229.0
1997,CO,Eurasian Coot,1131.0
1997,CR,Red Crossbill,444.0
1997,CS,Common Sandpiper,191.0
1997,CT,Coal Tit,2974.0
1997,CU,Eurasian Curlew,3056.0
1997,CY,Scottish Crossbill,17.0
1997,D.,Dunnock,7908.0
1997,DC,Wood Duck,1.0
1997,DI,White-throated Dipper,70.0
1997,DV,Rock Dove,94.0
1997,DW,Dartford Warbler,16.0
1997,EG,Egyptian Goose,5.0
1997,ET,Little Egret,2.0
1997,F.,Northern Fulmar,151.0
1997,FP,Feral Pigeon,13942.0
1997,G.,European Green Woodpecker,1078.0
1997,GA,Gadwall,65.0
1997,GB,Great Black-backed Gull,411.0
1997,GC,Goldcrest,2647.0
1997,GD,Common Merganser,64.0
1997,GG,Great Crested Grebe,202.0
1997,GH,Common Grasshopper Warbler,190.0
1997,GJ,Greylag Goose,727.0
1997,GL,Grey Wagtail,193.0
1997,GO,European Goldfinch,5393.0
1997,GP,European Golden Plover,533.0
1997,GR,European Greenfinch,12027.0
1997,GS,Great Spotted Woodpecker,1179.0
1997,GT,Great Tit,10280.0
1997,GV,Grey Plover,3.0
1997,GW,Garden Warbler,949.0
1997,GX,Northern Gannet,31.0
1997,H.,Grey Heron,950.0
1997,HA,Harris's Hawk,2.0
1997,HC,Hooded Crow,574.0
1997,HG,European Herring Gull,7522.0
1997,HM,Western House Martin,6206.0
1997,HS,House Sparrow,36401.0
1997,J.,Eurasian Jay,1183.0
1997,JD,Western Jackdaw,19792.0
1997,K.,Common Kestrel,809.0
1997,KF,Common Kingfisher,64.0
1997,KI,Black-legged Kittiwake,2.0
1997,L.,Northern Lapwing,4642.0
1997,LB,Lesser Black-backed Gull,5909.0
1997,LG,Little Grebe,112.0
1997,LI,Common Linnet,8481.0
1997,LO,Little Owl,143.0
1997,LR,Lesser Redpoll,737.0
1997,LS,Lesser Spotted Woodpecker,25.0
1997,LT,Long-tailed Tit,2300.0
1997,LW,Lesser Whitethroat,235.0
1997,M.,Mistle Thrush,2826.0
1997,MA,Mallard,7153.0
1997,MG,Eurasian Magpie,11097.0
1997,MH,Common Moorhen,1258.0
1997,MN,Mandarin Duck,22.0
1997,MP,Meadow Pipit,12548.0
1997,MS,Mute Swan,2027.0
1997,MT,Marsh Tit,309.0
1997,MY,Muscovy Duck,1.0
1997,N.,Common Nightingale,66.0
1997,ND,Common Loon,1.0
1997,NH,Eurasian Nuthatch,760.0
1997,NX,Great Skua,120.0
1997,OC,Eurasian Oystercatcher,1789.0
1997,OO,Woodchat Shrike,1.0
1997,P.,Grey Partridge,881.0
1997,PF,European Pied Flycatcher,122.0
1997,PG,Pink-footed Goose,595.0
1997,PH,Common Pheasant,8231.0
1997,PM,Rock Ptarmigan,5.0
1997,PW,White Wagtail,2584.0
1997,PX,Indian Peafowl,23.0
1997,R.,European Robin,16538.0
1997,RB,Common Reed Bunting,1078.0
1997,RC,European Rock Pipit,40.0
1997,RG,Willow Ptarmigan,838.0
1997,RI,Rose-ringed Parakeet,90.0
1997,RK,Common Redshank,402.0
1997,RL,Red-legged Partridge,1917.0
1997,RM,Red-breasted Merganser,35.0
1997,RN,Northern Raven,432.0
1997,RO,Rook,35759.0
1997,RP,Common Ringed Plover,136.0
1997,RQ,Red-crested Pochard,2.0
1997,RT,Common Redstart,527.0
1997,RV,Reeves's Pheasant,1.0
1997,RW,Common Reed Warbler,492.0
1997,RY,Ruddy Duck,29.0
1997,RZ,Ring Ouzel,33.0
1997,S.,Eurasian Skylark,17415.0
1997,SA,European Shag,49.0
1997,SC,European Stonechat,135.0
1997,SD,Stock Dove,2743.0
1997,SF,Spotted Flycatcher,365.0
1997,SG,Common Starling,62038.0
1997,SH,Eurasian Sparrowhawk,340.0
1997,SI,Common Swift,8788.0
1997,SJ,Snow Goose,1.0
1997,SK,Eurasian Siskin,1142.0
1997,SL,Barn Swallow,14208.0
1997,SM,Sand Martin,1237.0
1997,SN,Common Snipe,362.0
1997,SP,Greater Scaup,5.0
1997,SS,Sanderling,3.0
1997,ST,Song Thrush,5936.0
1997,SU,Common Shelduck,1048.0
1997,SW,Sedge Warbler,1027.0
1997,T.,Eurasian Teal,55.0
1997,TC,Eurasian Treecreeper,559.0
1997,TD,European Turtle Dove,515.0
1997,TE,Sandwich Tern,39.0
1997,TH,Short-toed Treecreeper,8.0
1997,TO,Tawny Owl,87.0
1997,TP,Tree Pipit,395.0
1997,TS,Eurasian Tree Sparrow,630.0
1997,TT,Ruddy Turnstone,4.0
1997,TU,Tufted Duck,1002.0
1997,W.,Northern Wheatear,986.0
1997,WA,Water Rail,4.0
1997,WC,Whinchat,260.0
1997,WG,Greater White-fronted Goose,2.0
1997,WH,Common Whitethroat,4911.0
1997,WK,Eurasian Woodcock,5.0
1997,WL,Woodlark,25.0
1997,WO,Wood Warbler,161.0
1997,WP,Common Wood Pigeon,60985.0
1997,WR,Eurasian Wren,20695.0
1997,WT,Willow Tit,126.0
1997,WW,Willow Warbler,10046.0
1997,Y.,Yellowhammer,7032.0
1997,YW,Western Yellow Wagtail,761.0
1997,ZF,Domestic Mallard,3.0
1997,ZL,Domestic Greylag Goose,1.0
1998,AC,Parasitic Jaeger,30.0
1998,AE,Arctic Tern,6.0
1998,AS,Black Swan,12.0
1998,B.,Common Blackbird,37860.0
1998,BA,Bar-tailed Godwit,6.0
1998,BC,Eurasian Blackcap,5496.0
1998,BF,Eurasian Bullfinch,998.0
1998,BG,Brant Goose,15.0
1998,BH,Black-headed Gull,5790.0
1998,BJ,Black Tern,17.0
1998,BT,Eurasian Blue Tit,25487.0
1998,BY,Barnacle Goose,9.0
1998,BZ,Common Buzzard,1357.0
1998,C.,Carrion Crow,30903.0
1998,CA,Great Cormorant,526.0
1998,CB,Corn Bunting,610.0
1998,CC,Common Chiffchaff,6515.0
1998,CD,Eurasian Collared Dove,8700.0
1998,CG,Canada Goose,2799.0
1998,CH,Eurasian Chaffinch,35593.0
1998,CI,Crested Tit,9.0
1998,CK,Common Cuckoo,1515.0
1998,CM,Common Gull,3369.0
1998,CN,Common Tern,197.0
1998,CO,Eurasian Coot,1438.0
1998,CR,Red Crossbill,354.0
1998,CS,Common Sandpiper,206.0
1998,CT,Coal Tit,2716.0
1998,CU,Eurasian Curlew,3007.0
1998,CY,Scottish Crossbill,6.0
1998,D.,Dunnock,8763.0
1998,DC,Wood Duck,2.0
1998,DI,White-throated Dipper,85.0
1998,DV,Rock Dove,77.0
1998,DW,Dartford Warbler,40.0
1998,EG,Egyptian Goose,14.0
1998,ET,Little Egret,2.0
1998,F.,Northern Fulmar,166.0
1998,FP,Feral Pigeon,15807.0
1998,FT,Falcated Duck,1.0
1998,FW,Helmeted Guineafowl,3.0
1998,G.,European Green Woodpecker,1460.0
1998,GA,Gadwall,125.0
1998,GB,Great Black-backed Gull,500.0
1998,GC,Goldcrest,2647.0
1998,GD,Common Merganser,100.0
1998,GF,Golden Pheasant,1.0
1998,GG,Great Crested Grebe,286.0
1998,GH,Common Grasshopper Warbler,180.0
1998,GJ,Greylag Goose,804.0
1998,GL,Grey Wagtail,266.0
1998,GO,European Goldfinch,5092.0
1998,GP,European Golden Plover,834.0
1998,GR,European Greenfinch,12602.0
1998,GS,Great Spotted Woodpecker,1405.0
1998,GT,Great Tit,11799.0
1998,GU,Common Murre,8.0
1998,GW,Garden Warbler,929.0
1998,GX,Northern Gannet,66.0
1998,H.,Grey Heron,1030.0
1998,HA,Harris's Hawk,1.0
1998,HC,Hooded Crow,694.0
1998,HG,European Herring Gull,9404.0
1998,HM,Western House Martin,6127.0
1998,HS,House Sparrow,35638.0
1998,IG,Iceland Gull,1.0
1998,J.,Eurasian Jay,1222.0
1998,JD,Western Jackdaw,22227.0
1998,JS,Jack Snipe,1.0
1998,K.,Common Kestrel,830.0
1998,KF,Common Kingfisher,60.0
1998,KI,Black-legged Kittiwake,2.0
1998,L.,Northern Lapwing,4378.0
1998,LB,Lesser Black-backed Gull,5338.0
1998,LG,Little Grebe,148.0
1998,LI,Common Linnet,7818.0
1998,LO,Little Owl,99.0
1998,LR,Lesser Redpoll,643.0
1998,LS,Lesser Spotted Woodpecker,38.0
1998,LT,Long-tailed Tit,2554.0
1998,LW,Lesser Whitethroat,321.0
1998,M.,Mistle Thrush,3309.0
1998,MA,Mallard,8148.0
1998,MG,Eurasian Magpie,12313.0
1998,MH,Common Moorhen,1502.0
1998,MN,Mandarin Duck,26.0
1998,MP,Meadow Pipit,14169.0
1998,MS,Mute Swan,2466.0
1998,MT,Marsh Tit,228.0
1998,MX,Manx Shearwater,81.0
1998,N.,Common Nightingale,86.0
1998,ND,Common Loon,4.0
1998,NE,Nene,3.0
1998,NG,Ring-necked Duck,1.0
1998,NH,Eurasian Nuthatch,841.0
1998,NX,Great Skua,85.0
